Username,ID,Money Available,Role,Password,First Name,DOB,Flights Purchased,MinerAirlines Membership,Last Name,Updated Flights Purchased,Updated Money Available
rickygardner,565,12484.89,Employee,Fun!23,Ricky,1/25/00,0,FALSE,Gardner,6,111.94275000000073
benjaminramirez,398,11703.53,Employee,Fun!23,Benjamin,4/12/00,0,TRUE,Ramirez,5,59.49749999999881
emmaarmstrong,338,7916.14,Employee,Fun!23,Emma,5/10/00,0,TRUE,Armstrong,4,234.48300000000052
gloriapage,304,2526.31,Employee,Fun!23,Gloria,6/5/00,0,FALSE,Page,7,18.124875000000088
jameshenderson,242,14542.96,Employee,Fun!23,James,6/16/00,0,FALSE,Henderson,4,241.62587500000018
victorross,604,8424.8,Employee,Fun!23,Victor,8/11/00,0,TRUE,Ross,1,181.45662500000026
sheriadams,585,3921.69,Employee,Fun!23,Sheri,8/20/00,0,FALSE,Adams,6,90.07874999999996
theresamacias,301,4867.44,Employee,Fun!23,Theresa,8/27/00,0,FALSE,Macias,2,211.37625000000025
erikalopez,623,5370.49,Employee,Fun!23,Erika,10/30/00,0,TRUE,Lopez,4,8.561250000000257
valeriemoore,349,12125.01,Employee,Fun!23,Valerie,12/31/00,0,FALSE,Moore,3,60.02624999999995
jenniferdavidson,879,3873.14,Employee,Fun!23,Jennifer,2/19/01,0,TRUE,Davidson,2,113.52074999999957
stevenmiller,919,12885.75,Employee,Fun!23,Steven,3/10/01,0,FALSE,Miller,6,109.11787500000042
georgewood,466,5891.03,Employee,Fun!23,George,4/17/01,0,FALSE,Wood,2,81.7130000000003
crystalhayes,827,5786.22,Employee,Fun!23,Crystal,8/1/01,0,FALSE,Hayes,5,104.48924999999929
terrencedixon,973,8436.37,Employee,Fun!23,Terrence,9/9/01,0,FALSE,Dixon,8,127.08649999999957
tylerevans,931,3265.38,Employee,Fun!23,Tyler,9/12/01,0,TRUE,Evans,4,136.41200000000015
jacobcontreras,629,9998.26,Employee,Fun!23,Jacob,9/30/01,0,TRUE,Contreras,2,238.72962500000028
kimberlyroberts,736,12478.6,Employee,Fun!23,Kimberly,10/11/01,0,TRUE,Roberts,7,29.54237500000005
gabrielasigalaacosta,80,6561.62,Employee,Fun!23,Gabriela,1/6/02,0,FALSE,SigalaAcosta,5,118.17562499999883
lisagaines,315,10253.32,Employee,Fun!23,Lisa,3/18/02,0,FALSE,Gaines,6,165.09049999999854
jasminedisney,10,3426.06,Customer,Fun!23,Jasmine,3/22/02,0,TRUE,Disney,3,64.61587500000041
barbaralove,897,3218.95,Employee,Fun!23,Barbara,4/9/02,0,FALSE,Love,5,242.4406249999994
patricklarsen,438,2435.54,Employee,Fun!23,Patrick,4/21/02,0,FALSE,Larsen,5,311.5645000000004
haleymoss,164,6002.38,Employee,Fun!23,Haley,5/8/02,0,FALSE,Moss,6,391.19425
heidipage,558,12804.51,Employee,Fun!23,Heidi,6/1/02,0,TRUE,Page,3,59.84274999999889
jenniferguzman,726,3385.68,Employee,Fun!23,Jennifer,6/13/02,0,TRUE,Guzman,6,63.884749999999144
christinavillanueva,883,13365.43,Employee,Fun!23,Christina,6/16/02,0,TRUE,Villanueva,10,18.033250000000294
jamesnolan,200,4970.07,Employee,Fun!23,James,7/31/02,0,TRUE,Nolan,3,261.7373749999999
alexandrafox,463,4992.66,Employee,Fun!23,Alexandra,8/8/02,0,FALSE,Fox,2,37.383000000000266
marklee,222,9811.87,Employee,Fun!23,Mark,9/9/02,0,TRUE,Lee,5,306.8771249999997
kennethsmith,354,5932.42,Employee,Fun!23,Kenneth,9/25/02,0,TRUE,Smith,3,204.3993749999994
haydenmcdaniel,780,3276.08,Employee,Fun!23,Hayden,10/9/02,0,TRUE,Mcdaniel,3,39.132749999998055
bryanhardy,327,12293.88,Employee,Fun!23,Bryan,10/22/02,0,FALSE,Hardy,4,26.268875000000435
codyrobles,720,2919.75,Employee,Fun!23,Cody,12/1/02,0,FALSE,Robles,3,132.69037500000036
